1 ,AB3,AB3 181-317 空中客车公司 A300,1
2 ,AB4,AB4 211-317 空中客车公司 A300-B2/B4/C4,1
3 ,AB6,AB6 207-317 空中客车公司 A300-600/600C,1
4 ,ACD,ACD 5--8 双指令机（航空）/涡轮式/螺旋桨式喷气飞机,1
5 ,ANF,ANF 安东诺夫设计集团 安-12 货机,1
6 ,AN4,AN4 40-50 安东诺夫设计集团 安-24,1
7 ,AN6,AN6 50-N/A 安东诺夫设计集团 安-26/30/32,1
8 ,AN7,AN7 安东诺夫设计集团 安-72/74,1
9 ,ARJ,ARJ 50-113 阿夫洛公司 RJ70/85/100,1
10 ,AR1,AR1 100-128 阿夫洛公司 RJ100,1
11 ,AR7,AR7 50-82 阿夫洛公司 RJ70,1
12 ,AR8,AR8 80-100 阿夫洛公司 RJ85,1
13 ,ATP,ATP 64-68 英国宇航公司 ATP,1
14 ,ATR,ATR 42-74 法国宇航公司/ALENIA ATR42/72,1
15 ,AT3,AT3 ATR 42,1
16 ,AT4,AT4 42-50 法国宇航公司/ALENIA ATR 42-300/320,1
17 ,AT5,AT5 42-74 法国宇航公司/ALENIA ATR42-500,1
18 ,AT7,AT7 64-74 法国宇航公司/ALENIA ATR 72,3
19 ,A28,A28 安东诺夫设计集团 安28/PZL 美里克 M-28 空中货车,1
20 ,A4F,A4F 安东诺夫设计集团 安-124,1
21 ,A40,A40 安东诺夫设计集团 安-140,1
22 ,BEC,BEC 9--15 比彻克夫特 (轻型飞机),1
23 ,BEH,BEH 19-N/A 比彻克夫特 1900D 客机,1
24 ,BES,BES 19-N/A 比彻克夫特 1900/1900C 客机,1
25 ,BET,BET 9--15 比彻克夫特（轻型－双涡轮螺旋桨式飞机,1
26 ,BE1,BE1 15-19 比彻克夫特 1900/1900C/1900D 客机,1
27 ,BE2,BE2 11-N/A 比彻克夫特－轻型－双活塞引擎,1
28 ,BE9,BE9 13-15 比彻克夫特 C99 客机,1
29 ,BH2,BH2 4--6 贝尔公司 （直升飞机,1
30 ,BNI,BNI 7--10 布里顿－诺曼公司 BN-2A/BN-2B 岛上居民,1
31 ,BNT,BNT 15-18 布里顿－诺曼公司 BN-2A 米克 特里斯登陆者,1
32 ,B11,B11 73-119 英国宇航公司 (BAC) 1-11 (ALL),1
33 ,B12,B12 73-82 英国宇航公司 (BAC) 1-11 200,1
34 ,B13,B13 77-89 英国宇航公司 (BAC) 1-11 300,1
35 ,B14,B14 63-110 英国宇航公司 (BAC) 1-11 400/475,1
36 ,B15,B15 98-119 英国宇航公司 (BAC) 1-11 500/ 洛曼派克,1
37 ,B72,B72 126-140 波音公司 720/720B (707-020/020B),1
38 ,CCJ,CCJ 康纳戴尔 CL-600/601/604 挑战者,1
39 ,CD2,CD2 12--16 格伏特飞机制造厂 N22B/N24A 诺曼德,1
40 ,CL4,CL4 214-N/A 康纳戴尔 CL-44,1
41 ,C,C NA 3--14 赛斯纳 (轻型飞机),1
42 ,CNC,CNC 赛斯纳 轻型飞机（单涡轮螺旋桨飞机,1
43 ,CNJ,CNJ 6--13 赛斯纳 CITATION ,1
44 ,CRJ,CRJ 50-86 康纳戴尔 区域喷气机,3
45 ,CRV,CRV 90-114 法国宇航公司 SE.210 CARAVELLE,1
46 ,CR1,CR1 50-N/A 康纳戴尔 区域喷气机 100,1
47 ,CR2,CR2 50-N/A 康纳戴尔 区域喷气机 200,3
48 ,CR7,CR7 70-N/A 康纳戴尔 区域喷气机 700,1
49 ,CR9,CR9 86-N/A 康纳戴尔 区域喷气机 900,1
50 ,CS2,CS2 19-28 卡萨 C-212/NC-212 航空汽车,1
51 ,CS5,CS5 38-40 卡萨 CN-235,1
52 ,CVF,CVF 康维尔 440/580/600/640 （货机,1
53 ,CVR,CVR 40-55 康维尔 240/440/580 （客机,1
54 ,CV4,CV4 43-52 康维尔 440 大都市（客机,1
55 ,CV5,CV5 48-55 康维尔 580 客机,1
56 ,CWC,CWC 40-62 克提斯 C-46 突击机,1
57 ,DC3,DC3 18-30 波音公司（道格拉斯） DC-3 客机,1
58 ,DC6,DC6 52-80 波音公司（道格拉斯） DC-6A/B 客机,1
59 ,DC8,DC8 125-250 波音公司（道格拉斯） DC-8 客机,1
60 ,DC9,DC9 60-139 波音公司（道格拉斯） DC-9 客机,1
61 ,DFL,DFL 10--14 德夫康公司,1
62 ,DF2,DF2 德夫康公司 10/20/100/200/2000  ,1
63 ,DF3,DF3 德夫康公司50/900  ,1
64 ,DHB,DHB 6--8 德.哈维兰公司DHC-2海狸/涡轮式海狸  ,1
65 ,DHC,DHC 20-N/A 德.哈维兰公司DHC-4驯鹿  ,1
66 ,DHH,DHH 14-17 英国宇航公司{德.哈维兰公司}苍鹭巢  ,1
67 ,DHL,DHL N/A-15 德.哈维兰公司DHC-3涡轮式水猴  ,1
68 ,DHO,DHO 10--18 德.哈维兰公司DHC-3水猴/涡轮式水猴  ,1
69 ,DHP,DHP 6--10 德.哈维兰公司DHC-2海狸  ,1
70 ,DHS,DHS 德.哈维兰公司DHC-3水猴  ,1
71 ,DHT,DHT 14-20 德.哈维兰公司DHC-6双水猴  ,1
72 ,DH1,DH1 37-39 德.哈维兰公司DHC-8 100冲/BQ  ,1
73 ,DH2,DH2 37-39 德.哈维兰公司DHC-8 200冲/BQ  ,1
74 ,DH3,DH3 50-56 德.哈维兰公司DHC-8 300冲/BQ  ,1
75 ,DH4,DH4 68-78 德.哈维兰公司DHC-8 冲8-400冲8Q  ,1
76 ,DH7,DH7 37-50 德.哈维兰公司DHC-7 冲7  ,1
77 ,DH8,DH8 32-78 德.哈维兰公司DHC-8 冲8  ,3
78 ,D1C,D1C 229-357 波音公司{道格拉斯}DC-10-30/40（客机）  ,1
79 ,D1F,D1F 波音公司{道格拉斯}DC-10货机  ,1
80 ,D1M,D1M 195-235 波音公司{道格拉斯}DC-10混合机  ,1
81 ,D10,D10 229-374 波音公司{道格拉斯}DC-10(客机）  ,1
82 ,D11,D11 237-374 波音公司{道格拉斯}DC-10-10/15（客机）  ,1
83 ,D28,D28 19-N/A 仙童多尼尔公司228  ,1
84 ,D3F,D3F 波音公司{道格拉斯}DC-3货机  ,1
85 ,D38,D38 32-N/A 仙童多尼尔公司328  ,3
86 ,D6F,D6F 波音公司{道格拉斯}DC-6A/B/C  ,1
87 ,D8F,D8F 50-73 波音公司{道格拉斯}DC-8 50-73货机  ,1
88 ,D8M,D8M 118-N/A 波音公司{道格拉斯}DC-8 混合机  ,1
89 ,D8X,D8X 波音公司{道格拉斯}DC-8-61/62/63 Frtr  ,1
90 ,D8Y,D8Y 波音公司{道格拉斯}DC-8-71/72/73 Frtr  ,1
91 ,D9F,D9F 波音公司{道格拉斯}DC-9货机  ,1
92 ,D9S,D9S 84-139 波音公司{道格拉斯}DC-9-30/40/50  ,1
93 ,D91,D91 60-90 波音公司{道格拉斯}DC-9-10/15客机  ,1
94 ,D92,D92 75-90 波音公司{道格拉斯}DC-9-20  ,1
95 ,D93,D93 84-115 波音公司{道格拉斯}DC-9-30客机  ,1
96 ,D94,D94 100-128 波音公司{道格拉斯}DC-9-40客机  ,1
97 ,D96,D96 107-139 波音公司{道格拉斯}DC-9-50客机  ,1
98 ,EMB,EMB 15-21 巴西EMBRAER公司 110BANDEIRANTE,3
99 ,EMJ,EMJ 70-110 巴西EMBRAER公司 170/190  ,1
